machine_id,machine_type,brand,machine_name,  raw_price_php  ,adjusted_machine_price_php,power_watts,roi_hours,job_type
1,FDM Printing,Bambulab,A1 mini,10799,9641.96,150,2190,fdm printing
2,FDM Printing,Bambulab,A1 Mini Combo,18699,16695.54,155,2190,fdm printing
3,FDM Printing,Bambulab,A1 ,15799,14106.25,1300,2190,fdm printing
4,FDM Printing,Bambulab,A1 Combo AMS Lite,23199,20713.39,1305,2190,fdm printing
5,FDM Printing,Bambulab,P1S,27399,24463.39,1100,2190,fdm printing
6,FDM Printing,Bambulab,P1S Combo AMS,38199,34106.25,1110,2190,fdm printing
7,FDM Printing,Bambulab,P1S Combo AMS 2 Pro,45599,40713.39,1115,2190,fdm printing
8,FDM Printing,Bambulab,X1C,76999,68749.11,1100,2190,fdm printing
9,FDM Printing,Bambulab,X1C Combo,89999,80356.25,1110,2190,fdm printing
10,FDM Printing,Bambulab,H2D Non-Laser,110299,98481.25,1800,2190,fdm printing
11,FDM Printing,Bambulab,H2D Non-Laser Combo,127699,114016.96,1890,2190,fdm printing
12,FDM Printing,Bambulab,H2D 10W Combo,163499,145981.25,1890,2190,fdm printing
13,FDM Printing,Bambulab,H2D 40W Combo,199099,177766.96,1890,2190,fdm printing
14,FDM Printing,Bambulab,H2D 110V Combo,153899,137409.82,1890,2190,fdm printing
15,FDM Printing,Bambulab,P2S ,42999,38391.96,1200,2190,fdm printing
16,FDM Printing,Bambulab,P2S Combo,59999,53570.54,1290,2190,fdm printing
17,FDM Printing,Creality,Ender 3 V3 SE,11199,9999.107143,350,2190,fdm printing
18,FDM Printing,Creality,Ender 3 V3 KE,15359,13713.39286,350,2190,fdm printing
19,FDM Printing,Creality,Ender 3 V3,14999,13391.96429,350,2190,fdm printing
20,FDM Printing,Creality,Ender 3 V3 Plus,29199,26070.53571,350,2190,fdm printing
21,FDM Printing,Creality,Ender 5 S1,24999,22320.53571,350,2190,fdm printing
22,FDM Printing,Creality,K1,30299,27052.67857,350,2190,fdm printing
23,FDM Printing,Creality,K1 SE,21889,19543.75,350,2190,fdm printing
24,FDM Printing,Creality,K1C,29899,26695.53571,350,2190,fdm printing
25,FDM Printing,Creality,K1 Max,47899,42766.96429,1000,2190,fdm printing
26,FDM Printing,Creality,Hi ,15499,13838.39286,1150,2190,fdm printing
27,FDM Printing,Creality,Hi combo,22990,20526.78571,1170,2190,fdm printing
28,FDM Printing,Creality,K2,27999,24999.10714,1200,2190,fdm printing
29,FDM Printing,Creality,K2 Combo,38499,34374.10714,1220,2190,fdm printing
30,FDM Printing,Creality,K2 Plus,79990,71419.64286,1200,2190,fdm printing
31,FDM Printing,Creality,K2 Plus Combo,85999,76784.82143,1220,2190,fdm printing
32,FDM Printing,Creality,K2 Pro,54899,49016.96429,1200,2190,fdm printing
33,FDM Printing,Creality,K2 Pro Combo,64799,57856.25,1220,2190,fdm printing
34,FDM Printing,Elegoo,Centauri Carbon,24447,21827.67857,350,2190,fdm printing
35,FDM Printing,Elegoo,OrangeStorm Giga,189000,168750,1800,2190,fdm printing
36,FDM Printing,Elegoo,Neptune 4,12999,11606.25,310,2190,fdm printing
37,FDM Printing,Elegoo,Neptune 4 Max,34999,31249.10714,400,2190,fdm printing
38,FDM Printing,Elegoo,Neptune 4 Pro,16499,14731.25,400,2190,fdm printing
39,FDM Printing,Elegoo,Neptune 4 Plus,22999,20534.82143,320,2190,fdm printing
40,FDM Printing,FLSUN,S1,84999,75891.96429,1300,2190,fdm printing
41,FDM Printing,FLSUN,T1,32999,29463.39286,450,2190,fdm printing
42,FGF Printing,Kings3d,FGF 1800,5000000,4464285.71,10000,70080,FGF printing
43,Resin Printing,Creality,Halot Mage Pro,33000,29464.29,100,2190,Resin printing
44,Resin Printing,Creality,Halot Sky 2022,120000,107142.86,230,2190,Resin printing
