material_id,sku,material_name,Job_type,sell_price_per_kg,adjusted_price_per_kg,density_g_per_ml,material_type
1,MLE04730,Elegoo PLA,FDM Printing,650,580.3571429,1,PLA
2,MLE05161,Elegoo Rapid PLA+,FDM Printing,799,713.3928571,1,PLA
3,MLE05502,Elegoo PLA Matte,FDM Printing,649,579.4642857,1,PLA
4,MLE01492,eSUN PLA+,FDM Printing,799,713.3928571,1,PLA
5,MLE05892,eSUN PLA+ Refilament,FDM Printing,699,624.1071429,1,PLA
6,MLE01492,eSUN PLA matte,FDM Printing,749,668.75,1,PLA
7,MLE06624,eSun PLA Matte Rainbow,FDM Printing,849,758.0357143,1,PLA
8,MLE01534,eSUN Silk PLA,FDM Printing,799,713.3928571,1,PLA
9,MLE03920,eSUN PLA-Silk Magic Mystic,FDM Printing,1249,1115.178571,1,PLA
10,MLE05253,Sunlu PLA+,FDM Printing,719,641.9642857,1,PLA
11,MLE05553,Sunlu PLA HS,FDM Printing,799,713.3928571,1,PLA
12,MLE05319,Sunlu PLA Matte,FDM Printing,699,624.1071429,1,PLA
13,MLE05678,Bambu Lab Basic PLA,FDM Printing,1349,1204.464286,1,PLA
14,MLE05675,Bambu Lab PLA Basic Gradient,FDM Printing,1799,1606.25,1,PLA
15,MLE04703,Creality Hyper PLA,FDM Printing,899,802.6785714,1,PLA
16,MLE05093,Creality Ender PLA,FDM Printing,599,534.8214286,1,PLA
17,MLE06906,Creality Soleyin Ultra PLA,FDM Printing,649,579.4642857,1,PLA
18,MLE06716,Polymaker Panchroma Matte PLA,FDM Printing,749,668.75,1,PLA
19,MLE06721,Polymaker Panchroma Marble PLA,FDM Printing,749,668.75,1,PLA
20,MLE06726,Polymaker Panchroma Dual Matte PLA,FDM Printing,799,713.3928571,1,PLA
21,MLE06739,Polymaker Panchroma Gradient Matte PLA,FDM Printing,799,713.3928571,1,PLA
22,MLE06744,Polymaker Panchroma Satin PLA,FDM Printing,799,713.3928571,1,PLA
23,MLE05462,Elegoo PETG Pro,FDM Printing,679,606.25,1,PETG
24,MLE05460,Elegoo Rapid PETG,FDM Printing,699,624.1071429,1,PETG
25,MLE01513,eSUN PETG,FDM Printing,749,668.75,1,PETG
26,MLE04821,eSUN PETG+HS,FDM Printing,799,713.3928571,1,PETG
27,MLE05345,Sunlu PETG,FDM Printing,749,668.75,1,PETG
28,MLE05662,Bambu Lab PETG HF,FDM Printing,1299,1159.821429,1,PETG
29,MLE05478,Elegoo ASA,FDM Printing,799,713.3928571,1,ASA
30,MLE01559,eSun eASA,FDM Printing,1075,959.8214286,1,ASA
31,MLE05661,Bambu Lab ASA,FDM Printing,2099,1874.107143,1,ASA
32,MLE01520,eSUN ABS+,FDM Printing,749,668.75,1,ABS
33,MLE04830,eSUN ABS+HS,FDM Printing,799,713.3928571,1,ABS
34,MLE05654,Bambu Lab ABS,FDM Printing,1499,1338.392857,1,ABS
35,MLE05673,Bambu Lab PC,FDM Printing,2399,2141.964286,1,PolyCarbonate
36,MLE03596,eSUN ePC,FDM Printing,2398,2141.071429,1,PolyCarbonate
37,MLE05672,Bambu Lab PA6-CF,FDM Printing,4649,4150.892857,1,Reinforced
38,MLE05551,Sunlu PA6-CF,FDM Printing,2599,2320.535714,1,Reinforced
39,MLE01525,eSUN ePA-CF,FDM Printing,2499,2231.25,1,Reinforced
40,MLE05656,Bambu Lab ABS-GF,FDM Printing,2099,1874.107143,1,Reinforced
41,MLE05771,eSUN ABS-CF,FDM Printing,1449,1293.75,1,Reinforced
42,MLE05367,Sunlu Standard Plus,SLA Printing,1199,1070.535714,1.1,PLA
43,MLE04221,Sunlu Standard,SLA Printing,1100,982.1428571,1.1,PLA
44,MLE05751,Anycubic Standard,SLA Printing,1299,1159.821429,1.1,PLA
45,MLE02644,eSUN eResin-PLA Pro,SLA Printing,1300,1160.714286,1.1,PLA
46,MLE04237,SUNLU PA Like,SLA Printing,1449,1293.75,1.1,ABS
47,MLE04742,Anycubic ABS-Like,SLA Printing,1449,1293.75,1.1,ABS
48,MLE01548,eSUN Hard Tough,SLA Printing,2499,2231.25,1.1,Hard Tough
49,MLE05748,Anycubic Tough,SLA Printing,1999,1784.821429,1.1,Hard Tough
50,MLE05889,eSun HT100 High Temp,SLA Printing,2898,2587.5,1.1,High Temp
51,MLE03297,eSUN High Temp Resin,SLA Printing,1599,1427.678571,1.1,High Temp
52,MLE04236,SUNLU PA Like,SLA Printing,2000,1785.714286,1.1,High Strength
53,MLE03963,eSUN PMMA-like,SLA Printing,2950,2633.928571,1.1,High Strength
54,MLE04676,Esun OM100 Yellow,SLA Printing,2500,2232.142857,1.1,Dental
55,MLE04675,Esun TC100 A2,SLA Printing,5500,4910.714286,1.1,Dental
56,MLE04692,Esun TC100 A3,SLA Printing,5500,4910.714286,1.1,Dental
57,MLE04691,Esun TC100 A1,SLA Printing,5500,4910.714286,1.1,Dental
58,MLE04690,Esun SG100,SLA Printing,5500,4910.714286,1.1,Dental
59,MLE05775,eSUN DM100,SLA Printing,2499,2231.25,1.1,Dental
60,MLE05772,eSUN OM100,SLA Printing,2499,2231.25,1.1,Dental
61,MLE05773,Sunlu DM Dental Restoration,SLA Printing,2949,2633.035714,1.1,Dental
62,MLE05373,Sunlu DM Dental Restoration,SLA Printing,2949,2633.035714,1.1,Dental
63,MLE06932,Kings 3d - ABS K151,FGF Printing,399,356.25,1,ABS
64,MLE06069,Kings 3d - ABS K107,FGF Printing,549,490.1785714,1,ABS
65,MLE06950,Kings 3d - ABS K165FR (Flame Retardant),FGF Printing,699,624.1071429,1,ABS
66,MLE06951,Kings 3d - PETG K1013 (Glass Fiber (30 %)),FGF Printing,699,624.1071429,1,PETG
67,MLE06952,Kings 3d - PP K3400 (Glass Fiber 30%),FGF Printing,699,624.1071429,1,PP
68,MLE06953,Kings 3d - PLA K700,FGF Printing,699,624.1071429,1,PLA
69,MLE06954,Kings 3d - TPU K090,FGF Printing,749,668.75,1,TPU
